Build Timestamp (UTC)	Build	Job	Job URL	Build Trigger	Allow Job Failure	PR#	Branch	Commit	Commit Range	Commit Message	Sketch Filename	Board ID	IDE Version	Program Storage (bytes)	Dynamic Memory (bytes)	# Warnings	Allow Failure	Exit Status	# Board Issues	Board Issue
2017-06-18 22:28:11	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:sam:arduino_due_x_dbg	1.8.3	22084		0	false	0	0	
2017-06-18 22:28:19	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	MiniCore:avr:328:variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.1	450	9	0	false	0	0	
2017-06-18 22:28:26	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	ATTinyCore-master:avr:attinyx5:LTO=disable,TimerClockSource=default,chip=85,clock=8internal,bod=disable	1.8.1	304	9	0	false	0	0	
2017-06-18 22:28:33	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	ATTinyCore-master:avr:attinyx5:LTO=disable,TimerClockSource=default,chip=85,clock=8internal,bod=disable	1.8.2	304	9	0	false	0	0	
2017-06-18 22:28:40	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	MightyCore:avr:1284:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.1	512	9	0	false	0	0	
2017-06-18 22:28:48	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	MightyCore:avr:1284:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.2	512	9	0	false	0	0	
2017-06-18 22:28:56	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	mighty-1284p:avr:avr_developers	1.8.3	510	9	0	false	0	0	
2017-06-18 22:29:04	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	MPU9250.ino	arduino:avr:uno	1.8.3	7904	462	1	false	0	0	
2017-06-18 22:29:08	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.5.2	2464	222	0	false	0	0	
2017-06-18 22:29:15	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.8.1	2464	222	0	false	0	0	
2017-06-18 22:29:22	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.8.2	2464	222	0	false	0	0	
2017-06-18 22:29:30	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.8.3	2464	222	0	false	0	0	
2017-06-18 22:29:38	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	hourly	2464	222	0	false	0	0	
2017-06-18 22:29:45	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-sketchbook/libraries/WirelessOregonV2/examples/OregonReceiver/OregonReceiver.ino	arduino:avr:uno	1.8.3	3248	278	0	false	0	0	
2017-06-18 22:29:53	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-sketchbook/libraries/NanodeUNIO/examples/NanodeUNIO_test/NanodeUNIO_test.ino	arduino:avr:uno	1.8.3	4668	406	2	false	0	0	
2017-06-18 22:30:01	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-sketchbook/libraries/ArduinoShell/examples/ShellBlink/ShellBlink.ino	arduino:avr:uno	1.8.3	7904	462	1	false	0	0	
2017-06-18 22:30:08	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-sketchbook/libraries/max_7456/examples/HelloWorld/HelloWorld.ino	arduino:avr:uno	1.8.3	5522	282	1	false	0	0	
2017-06-18 22:30:16	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-sketchbook/libraries/Pushetta/examples/simple_notification/simple_notification.ino	arduino:avr:uno	1.8.3	8272	654	2	false	0	0	
2017-06-18 22:30:19	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	1.5.2	444	9	0	false	0	0	
2017-06-18 22:30:26	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	1.8.1	444	9	0	false	0	0	
2017-06-18 22:30:34	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	1.8.2	444	9	0	false	0	0	
2017-06-18 22:30:41	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	1.8.3	444	9	0	false	0	0	
2017-06-18 22:30:48	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	hourly	444	9	0	false	0	0	
2017-06-18 22:30:52	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	1.5.2	444	9	0	false	0	0	
2017-06-18 22:30:58	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-sketchbook/libraries/WirelessOregonV2/examples/OregonReceiver/OregonReceiver.ino	arduino:sam:arduino_due_x_dbg	1.8.3				true	1		
2017-06-18 22:31:05	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/Blink/Blink.ino	arduino:avr:uno	1.8.1	928	9	0	false	0	0	
2017-06-18 22:31:09	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/DigitalReadSerial/DigitalReadSerial.ino	arduino:avr:uno	1.8.1	2108	188	0	false	0	0	
2017-06-18 22:31:13	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/AnalogReadSerial/AnalogReadSerial.ino	arduino:avr:uno	1.8.1	1888	188	0	false	0	0	
2017-06-18 22:31:17	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/Fade/Fade.ino	arduino:avr:uno	1.8.1	1150	13	0	false	0	0	
2017-06-18 22:31:22	542	542.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/244329209	push	false	false	7f52e6e117	7f52e6e117feacc66da333cd50a38a6dea90a309		Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	1.8.1	444	9	0	false	0	0	
