Build Timestamp (UTC)	Build	Job	Job URL	Build Trigger	Allow Job Failure	PR#	Branch	Commit	Commit Range	Commit Message	Sketch Filename	Board ID	IDE Version	Program Storage (bytes)	Dynamic Memory (bytes)	# Warnings	Allow Failure	Exit Status	# Board Issues	Board Issue
2017-06-18 03:11:35	532	532.1	https://travis-ci.org/per1234/arduino-ci-script/jobs/244126390	push	false	false	report-summary	6c673129c67cdba21e90a1c540ba3e3ef5913b5c	b79337db4e41...6c673129c67c	Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:sam:arduino_due_x_dbg	1.8.3	22084		0	false	0	0	
2017-06-18 03:11:41	532	532.1	https://travis-ci.org/per1234/arduino-ci-script/jobs/244126390	push	false	false	report-summary	6c673129c67cdba21e90a1c540ba3e3ef5913b5c	b79337db4e41...6c673129c67c	Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	MiniCore:avr:328:variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.1	450	9	0	false	0	0	
2017-06-18 03:11:47	532	532.1	https://travis-ci.org/per1234/arduino-ci-script/jobs/244126390	push	false	false	report-summary	6c673129c67cdba21e90a1c540ba3e3ef5913b5c	b79337db4e41...6c673129c67c	Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	ATTinyCore-master:avr:attinyx5:LTO=disable,TimerClockSource=default,chip=85,clock=8internal,bod=disable	1.8.1	304	9	0	false	0	0	
2017-06-18 03:11:53	532	532.1	https://travis-ci.org/per1234/arduino-ci-script/jobs/244126390	push	false	false	report-summary	6c673129c67cdba21e90a1c540ba3e3ef5913b5c	b79337db4e41...6c673129c67c	Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	ATTinyCore-master:avr:attinyx5:LTO=disable,TimerClockSource=default,chip=85,clock=8internal,bod=disable	1.8.2	304	9	0	false	0	0	
2017-06-18 03:12:00	532	532.1	https://travis-ci.org/per1234/arduino-ci-script/jobs/244126390	push	false	false	report-summary	6c673129c67cdba21e90a1c540ba3e3ef5913b5c	b79337db4e41...6c673129c67c	Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	MightyCore:avr:1284:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.1	512	9	0	false	0	0	
2017-06-18 03:12:07	532	532.1	https://travis-ci.org/per1234/arduino-ci-script/jobs/244126390	push	false	false	report-summary	6c673129c67cdba21e90a1c540ba3e3ef5913b5c	b79337db4e41...6c673129c67c	Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	MightyCore:avr:1284:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.2	512	9	0	false	0	0	
2017-06-18 03:12:13	532	532.1	https://travis-ci.org/per1234/arduino-ci-script/jobs/244126390	push	false	false	report-summary	6c673129c67cdba21e90a1c540ba3e3ef5913b5c	b79337db4e41...6c673129c67c	Add summary to the report commit message	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	mighty-1284p:avr:avr_developers	1.8.3	510	9	0	false	0	0	
2017-06-18 03:12:20	532	532.1	https://travis-ci.org/per1234/arduino-ci-script/jobs/244126390	push	false	false	report-summary	6c673129c67cdba21e90a1c540ba3e3ef5913b5c	b79337db4e41...6c673129c67c	Add summary to the report commit message	MPU9250.ino	arduino:avr:uno	1.8.3	7904	462	1	false	0	0	
2017-06-18 03:12:23	532	532.1	https://travis-ci.org/per1234/arduino-ci-script/jobs/244126390	push	false	false	report-summary	6c673129c67cdba21e90a1c540ba3e3ef5913b5c	b79337db4e41...6c673129c67c	Add summary to the report commit message	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.5.2	2464	222	0	false	0	0	
2017-06-18 03:12:27	532	532.1	https://travis-ci.org/per1234/arduino-ci-script/jobs/244126390	push	false	false	report-summary	6c673129c67cdba21e90a1c540ba3e3ef5913b5c	b79337db4e41...6c673129c67c	Add summary to the report commit message	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.5.3	2464	222	0	false	0	0	
