Build Timestamp (UTC)	Build	Job	Job URL	Build Trigger	Allow Job Failure	PR#	Branch	Commit	Commit Range	Commit Message	Sketch Filename	Board ID	IDE Version	Program Storage (bytes)	Dynamic Memory (bytes)	# Warnings	Allow Failure	Exit Code	Board Error
2017-06-13 10:52:02	465	465.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/242370466	push	false	false	test-verbosity-levels-2	557d5a1967cfdf728af7fbd8da3f13f4006225b2	5077d2b578a1...557d5a1967cf	Test multiple verbosity settings	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:sam:arduino_due_x_dbg	1.8.3	22084		0	false	0	
2017-06-13 10:52:09	465	465.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/242370466	push	false	false	test-verbosity-levels-2	557d5a1967cfdf728af7fbd8da3f13f4006225b2	5077d2b578a1...557d5a1967cf	Test multiple verbosity settings	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	MiniCore:avr:328:variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.1	450	9	0	false	0	
2017-06-13 10:52:15	465	465.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/242370466	push	false	false	test-verbosity-levels-2	557d5a1967cfdf728af7fbd8da3f13f4006225b2	5077d2b578a1...557d5a1967cf	Test multiple verbosity settings	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	ATTinyCore-master:avr:attinyx5:LTO=disable,TimerClockSource=default,chip=85,clock=8internal,bod=disable	1.8.1	304	9	0	false	0	
2017-06-13 10:52:21	465	465.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/242370466	push	false	false	test-verbosity-levels-2	557d5a1967cfdf728af7fbd8da3f13f4006225b2	5077d2b578a1...557d5a1967cf	Test multiple verbosity settings	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	ATTinyCore-master:avr:attinyx5:LTO=disable,TimerClockSource=default,chip=85,clock=8internal,bod=disable	1.8.2	304	9	0	false	0	
2017-06-13 10:52:29	465	465.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/242370466	push	false	false	test-verbosity-levels-2	557d5a1967cfdf728af7fbd8da3f13f4006225b2	5077d2b578a1...557d5a1967cf	Test multiple verbosity settings	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	MightyCore:avr:1284:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.1	512	9	0	false	0	
2017-06-13 10:52:36	465	465.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/242370466	push	false	false	test-verbosity-levels-2	557d5a1967cfdf728af7fbd8da3f13f4006225b2	5077d2b578a1...557d5a1967cf	Test multiple verbosity settings	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	MightyCore:avr:1284:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.8.2	512	9	0	false	0	
2017-06-13 10:52:43	465	465.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/242370466	push	false	false	test-verbosity-levels-2	557d5a1967cfdf728af7fbd8da3f13f4006225b2	5077d2b578a1...557d5a1967cf	Test multiple verbosity settings	/home/travis/arduino-sketchbook/libraries/MPU9250/examples/MPU9250/MPU9250.ino	arduino:avr:uno	1.8.3	7904	462	1	false	0	
2017-06-13 10:52:47	465	465.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/242370466	push	false	false	test-verbosity-levels-2	557d5a1967cfdf728af7fbd8da3f13f4006225b2	5077d2b578a1...557d5a1967cf	Test multiple verbosity settings	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.5.2	2464	222	0	false	0	
2017-06-13 10:52:53	465	465.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/242370466	push	false	false	test-verbosity-levels-2	557d5a1967cfdf728af7fbd8da3f13f4006225b2	5077d2b578a1...557d5a1967cf	Test multiple verbosity settings	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.8.1	2464	222	0	false	0	
2017-06-13 10:52:59	465	465.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/242370466	push	false	false	test-verbosity-levels-2	557d5a1967cfdf728af7fbd8da3f13f4006225b2	5077d2b578a1...557d5a1967cf	Test multiple verbosity settings	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.8.2	2464	222	0	false	0	
