Build Timestamp (UTC)	Build	Job	Job URL	Build Trigger	Allow Job Failure	PR#	Branch	Commit	Commit Range	Commit Message	Sketch Filename	Board ID	IDE Version	Program Storage (bytes)	Dynamic Memory (bytes)	# Warnings	Allow Failure	Exit Code	Board Issue
2017-06-17 08:24:56	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	1.8.3	444	9	0	false	0	
2017-06-17 08:24:59	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/ReadAnalogVoltage/ReadAnalogVoltage.ino	arduino:avr:uno	1.8.3	3012	200	0	false	0	
2017-06-17 08:25:03	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/Blink/Blink.ino	arduino:avr:uno	1.5.2	928	9	0	false	0	
2017-06-17 08:25:07	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/DigitalReadSerial/DigitalReadSerial.ino	arduino:avr:uno	1.5.2	2108	188	0	false	0	
2017-06-17 08:25:10	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/AnalogReadSerial/AnalogReadSerial.ino	arduino:avr:uno	1.5.2	1888	188	0	false	0	
2017-06-17 08:25:14	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/Fade/Fade.ino	arduino:avr:uno	1.5.2	1150	13	0	false	0	
2017-06-17 08:25:18	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	1.5.2	444	9	0	false	0	
2017-06-17 08:25:21	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/ReadAnalogVoltage/ReadAnalogVoltage.ino	arduino:avr:uno	1.5.2	3012	200	0	false	0	
2017-06-17 08:25:28	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/Blink/Blink.ino	arduino:avr:uno	1.8.1	928	9	0	false	0	
2017-06-17 08:25:32	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/DigitalReadSerial/DigitalReadSerial.ino	arduino:avr:uno	1.8.1	2108	188	0	false	0	
2017-06-17 08:25:35	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/AnalogReadSerial/AnalogReadSerial.ino	arduino:avr:uno	1.8.1	1888	188	0	false	0	
2017-06-17 08:25:39	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/Fade/Fade.ino	arduino:avr:uno	1.8.1	1150	13	0	false	0	
2017-06-17 08:25:42	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	1.8.1	444	9	0	false	0	
